MOVIE_TITLE,NUM_CRITIC_FOR_REVIEWS,DURATION,DIRECTOR_FACEBOOK_LIKES,ACTOR_3_FACEBOOK_LIKES,ACTOR_1_FACEBOOK_LIKES,GROSS,NUM_VOTED_USERS,CAST_TOTAL_FACEBOOK_LIKES,FACENUMBER_IN_POSTER,NUM_USER_FOR_REVIEWS,BUDGET,TITLE_YEAR,ACTOR_2_FACEBOOK_LIKES,IMDB_SCORE,TITLE_YEAR.1
Avatar,723,178,10,855,1000,760505847,886204,4834,0,3054,237000000,2009,936,7.9,2009
Pirates of the Caribbean: At World's End,302,144,563,1000,40000,309404152,471220,48350,0,1238,300000000,2007,5000,7.1,NOT APPLICABLE
Spectre,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2015
The Dark Knight Rises,813,144,22000,23000,27000,448130642,1144337,106759,0,2701,250000000,2012,23000,8.5,NOT APPLICABLE
John Carter,462,132,475,530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,NOT APPLICABLE
Spider-Man 3,392,156,23,4000,24000,336530303,383056,46055,0,1902,258000000,2007,11000,6.2,2007
Tangled,324,144,15,284,799,200807262,294810,0,1,387,260000000,2010,553,7.8,NOT APPLICABLE
Avengers: Age of Ultron,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,NOT APPLICABLE
Harry Potter and the Half-Blood Prince,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,NOT APPLICABLE
Batman v Superman: Dawn of Justice,673,183,0,2000,15000,330249062,0,24450,0,3018,250000000,2016,0,6.9,2016
Superman Returns,434,169,0,903,18000,200069408,240396,0,2,2367,209000000,2006,10000,6.1,NOT APPLICABLE
Quantum of Solace,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2008
Pirates of the Caribbean: Dead Man's Chest,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2008
